distretto,mese,giorno,ora,veicolo,genere,età,esito
2,1,7,0,Autobus,M,43,Ferit lleu
5,1,11,0,Autobus,M,38,Ferit lleu
8,9,27,0,Autobus,M,45,Ferit lleu
4,12,24,0,Autobus,M,34,Ferit lleu
10,2,9,1,Autobus,M,35,Ferit lleu
10,5,19,1,Autobus,M,49,Ferit lleu
3,5,21,1,Autobus,M,35,Ferit lleu
5,6,11,1,Autobus,M,31,Ferit lleu
2,7,29,1,Autobus,M,37,Ferit lleu
1,10,27,1,Autobus,M,54,Ferit lleu
2,3,22,0,Bicicleta,M,41,Ferit greu
5,4,28,0,Bicicleta,M,28,Ferit greu
3,5,22,0,Bicicleta,M,50,Ferit greu
2,7,7,0,Bicicleta,M,20,Ferit greu
2,8,4,0,Bicicleta,M,30,Ferit greu
1,8,25,0,Bicicleta,F,27,Ferit greu
2,10,5,0,Bicicleta,M,60,Ferit greu
4,11,29,0,Bicicleta,M,15,Ferit greu
4,1,2,0,Bicicleta,M,41,Ferit lleu
2,1,3,0,Bicicleta,F,20,Ferit lleu
10,1,7,0,Bicicleta,M,29,Ferit lleu
10,1,8,0,Bicicleta,M,37,Ferit lleu
9,1,8,0,Bicicleta,M,19,Ferit lleu
2,1,8,0,Bicicleta,M,40,Ferit lleu
5,1,9,0,Bicicleta,M,14,Ferit lleu
2,1,11,0,Bicicleta,M,29,Ferit lleu
3,1,14,0,Bicicleta,M,38,Ferit lleu
2,1,15,0,Bicicleta,M,13,Ferit lleu
2,1,21,0,Bicicleta,F,45,Ferit lleu
1,1,28,0,Bicicleta,M,37,Ferit lleu
1,2,6,0,Bicicleta,M,31,Ferit lleu
10,2,7,0,Bicicleta,M,64,Ferit lleu
2,2,16,0,Bicicleta,M,32,Ferit lleu
2,2,17,0,Bicicleta,F,27,Ferit lleu
5,2,19,0,Bicicleta,M,16,Ferit lleu
3,2,23,0,Bicicleta,M,19,Ferit lleu
10,2,26,0,Bicicleta,M,40,Ferit lleu
3,3,3,0,Bicicleta,M,38,Ferit lleu
2,3,3,0,Bicicleta,M,16,Ferit lleu
1,3,5,0,Bicicleta,M,17,Ferit lleu
4,3,11,0,Bicicleta,M,26,Ferit lleu
4,3,16,0,Bicicleta,F,19,Ferit lleu
2,3,17,0,Bicicleta,M,28,Ferit lleu
2,3,18,0,Bicicleta,F,39,Ferit lleu
1,3,27,0,Bicicleta,M,24,Ferit lleu
10,3,28,0,Bicicleta,M,12,Ferit lleu
10,3,28,0,Bicicleta,F,31,Ferit lleu
6,4,1,0,Bicicleta,M,17,Ferit lleu
2,4,5,0,Bicicleta,F,25,Ferit lleu
10,4,15,0,Bicicleta,M,21,Ferit lleu
10,4,15,0,Bicicleta,M,26,Ferit lleu
1,4,15,0,Bicicleta,F,36,Ferit lleu
2,4,21,0,Bicicleta,F,46,Ferit lleu
2,4,21,0,Bicicleta,F,23,Ferit lleu
8,4,22,0,Bicicleta,M,50,Ferit lleu
2,4,23,0,Bicicleta,M,30,Ferit lleu
2,4,28,0,Bicicleta,M,29,Ferit lleu
6,4,28,0,Bicicleta,M,29,Ferit lleu
2,4,28,0,Bicicleta,M,31,Ferit lleu
2,4,29,0,Bicicleta,M,26,Ferit lleu
3,4,30,0,Bicicleta,F,31,Ferit lleu
2,5,4,0,Bicicleta,M,43,Ferit lleu
10,5,5,0,Bicicleta,F,23,Ferit lleu
2,5,6,0,Bicicleta,F,17,Ferit lleu
2,5,1,0,Bicicleta,F,28,Ferit lleu
7,5,8,0,Bicicleta,M,45,Ferit lleu
2,5,10,0,Bicicleta,F,42,Ferit lleu
4,5,13,0,Bicicleta,F,21,Ferit lleu
2,5,15,0,Bicicleta,F,30,Ferit lleu
5,5,17,0,Bicicleta,M,39,Ferit lleu
10,5,18,0,Bicicleta,M,21,Ferit lleu
10,5,21,0,Bicicleta,F,18,Ferit lleu
10,5,24,0,Bicicleta,F,14,Ferit lleu
10,5,31,0,Bicicleta,M,14,Ferit lleu
1,5,31,0,Bicicleta,F,30,Ferit lleu
10,6,1,0,Bicicleta,M,55,Ferit lleu
3,6,3,0,Bicicleta,M,31,Ferit lleu
10,6,4,0,Bicicleta,F,13,Ferit lleu
2,6,5,0,Bicicleta,M,11,Ferit lleu
2,6,7,0,Bicicleta,M,24,Ferit lleu
3,6,7,0,Bicicleta,F,24,Ferit lleu
3,6,8,0,Bicicleta,M,13,Ferit lleu
7,6,11,0,Bicicleta,M,43,Ferit lleu
2,6,11,0,Bicicleta,M,50,Ferit lleu
2,6,12,0,Bicicleta,M,37,Ferit lleu
2,6,12,0,Bicicleta,M,23,Ferit lleu
10,6,13,0,Bicicleta,M,19,Ferit lleu
6,6,15,0,Bicicleta,M,16,Ferit lleu
2,6,16,0,Bicicleta,M,38,Ferit lleu
6,6,22,0,Bicicleta,M,28,Ferit lleu
2,6,23,0,Bicicleta,F,24,Ferit lleu
10,6,26,0,Bicicleta,M,18,Ferit lleu
10,6,27,0,Bicicleta,F,41,Ferit lleu
2,6,28,0,Bicicleta,M,29,Ferit lleu
1,6,30,0,Bicicleta,M,17,Ferit lleu
10,7,4,0,Bicicleta,M,14,Ferit lleu
10,7,6,0,Bicicleta,M,43,Ferit lleu
6,7,7,0,Bicicleta,F,29,Ferit lleu
2,7,11,0,Bicicleta,M,36,Ferit lleu
2,7,13,0,Bicicleta,M,16,Ferit lleu
9,7,15,0,Bicicleta,M,43,Ferit lleu
2,7,16,0,Bicicleta,F,54,Ferit lleu
8,7,16,0,Bicicleta,F,30,Ferit lleu
2,7,18,0,Bicicleta,M,13,Ferit lleu
4,7,19,0,Bicicleta,M,52,Ferit lleu
3,7,20,0,Bicicleta,F,36,Ferit lleu
2,7,21,0,Bicicleta,M,16,Ferit lleu
8,7,21,0,Bicicleta,F,43,Ferit lleu
7,7,21,0,Bicicleta,M,25,Ferit lleu
3,7,21,0,Bicicleta,F,15,Ferit lleu
2,7,22,0,Bicicleta,M,32,Ferit lleu
3,7,22,0,Bicicleta,M,32,Ferit lleu
4,7,25,0,Bicicleta,F,23,Ferit lleu
8,7,25,0,Bicicleta,F,19,Ferit lleu
2,7,28,0,Bicicleta,F,22,Ferit lleu
2,7,28,0,Bicicleta,F,52,Ferit lleu
10,7,30,0,Bicicleta,M,26,Ferit lleu
1,7,30,0,Bicicleta,F,42,Ferit lleu
2,8,2,0,Bicicleta,F,35,Ferit lleu
1,8,3,0,Bicicleta,M,28,Ferit lleu
4,8,6,0,Bicicleta,F,17,Ferit lleu
3,8,17,0,Bicicleta,M,27,Ferit lleu
2,8,18,0,Bicicleta,M,30,Ferit lleu
2,8,21,0,Bicicleta,F,8,Ferit lleu
1,8,22,0,Bicicleta,M,18,Ferit lleu
2,8,23,0,Bicicleta,M,18,Ferit lleu
5,8,24,0,Bicicleta,M,22,Ferit lleu
10,8,29,0,Bicicleta,M,35,Ferit lleu
8,8,30,0,Bicicleta,M,22,Ferit lleu
3,9,2,0,Bicicleta,M,59,Ferit lleu
7,9,3,0,Bicicleta,M,33,Ferit lleu
5,9,6,0,Bicicleta,M,33,Ferit lleu
2,9,7,0,Bicicleta,M,36,Ferit lleu
3,9,8,0,Bicicleta,F,45,Ferit lleu
9,9,12,0,Bicicleta,M,14,Ferit lleu
2,9,12,0,Bicicleta,M,52,Ferit lleu
6,9,12,0,Bicicleta,M,23,Ferit lleu
2,9,13,0,Bicicleta,M,42,Ferit lleu
2,9,13,0,Bicicleta,M,29,Ferit lleu
10,9,13,0,Bicicleta,M,Desconegut,Ferit lleu
1,9,14,0,Bicicleta,M,43,Ferit lleu
2,9,15,0,Bicicleta,M,26,Ferit lleu
2,9,15,0,Bicicleta,M,33,Ferit lleu
10,9,19,0,Bicicleta,M,14,Ferit lleu
2,9,20,0,Bicicleta,M,27,Ferit lleu
2,9,20,0,Bicicleta,F,37,Ferit lleu
1,9,21,0,Bicicleta,M,26,Ferit lleu
2,9,23,0,Bicicleta,M,20,Ferit lleu
2,9,26,0,Bicicleta,M,26,Ferit lleu
3,10,1,0,Bicicleta,M,16,Ferit lleu
2,10,12,0,Bicicleta,M,25,Ferit lleu
6,10,15,0,Bicicleta,M,26,Ferit lleu
10,10,16,0,Bicicleta,M,36,Ferit lleu
2,10,19,0,Bicicleta,F,35,Ferit lleu
10,10,20,0,Bicicleta,F,19,Ferit lleu
6,10,25,0,Bicicleta,M,13,Ferit lleu
3,10,26,0,Bicicleta,F,42,Ferit lleu
10,10,29,0,Bicicleta,M,13,Ferit lleu
5,11,6,0,Bicicleta,M,36,Ferit lleu
3,11,8,0,Bicicleta,F,35,Ferit lleu
3,11,8,0,Bicicleta,M,23,Ferit lleu
1,11,8,0,Bicicleta,M,48,Ferit lleu
4,11,11,0,Bicicleta,F,44,Ferit lleu
10,11,15,0,Bicicleta,M,22,Ferit lleu
2,11,15,0,Bicicleta,M,40,Ferit lleu
9,11,18,0,Bicicleta,F,61,Ferit lleu
2,11,18,0,Bicicleta,M,29,Ferit lleu
3,11,24,0,Bicicleta,F,34,Ferit lleu
2,11,25,0,Bicicleta,M,12,Ferit lleu
8,11,30,0,Bicicleta,M,30,Ferit lleu
5,12,2,0,Bicicleta,M,18,Ferit lleu
10,12,3,0,Bicicleta,M,27,Ferit lleu
9,12,13,0,Bicicleta,M,80,Ferit lleu
7,12,13,0,Bicicleta,M,Desconegut,Ferit lleu
10,12,23,0,Bicicleta,M,25,Ferit lleu
2,7,11,1,Bicicleta,F,34,Ferit greu
5,1,3,1,Bicicleta,M,36,Ferit lleu
2,1,5,1,Bicicleta,M,46,Ferit lleu
2,1,19,1,Bicicleta,M,41,Ferit lleu
1,1,21,1,Bicicleta,M,34,Ferit lleu
1,1,22,1,Bicicleta,M,41,Ferit lleu
1,1,28,1,Bicicleta,F,11,Ferit lleu
3,2,11,1,Bicicleta,F,19,Ferit lleu
4,2,24,1,Bicicleta,M,21,Ferit lleu
3,3,5,1,Bicicleta,M,24,Ferit lleu
7,3,10,1,Bicicleta,M,37,Ferit lleu
4,3,12,1,Bicicleta,M,16,Ferit lleu
2,3,15,1,Bicicleta,M,37,Ferit lleu
3,3,14,1,Bicicleta,M,36,Ferit lleu
10,3,18,1,Bicicleta,M,28,Ferit lleu
4,3,19,1,Bicicleta,M,17,Ferit lleu
4,3,19,1,Bicicleta,M,19,Ferit lleu
2,3,20,1,Bicicleta,M,28,Ferit lleu
3,3,21,1,Bicicleta,M,64,Ferit lleu
3,3,23,1,Bicicleta,M,38,Ferit lleu
10,3,26,1,Bicicleta,F,42,Ferit lleu
2,3,27,1,Bicicleta,M,29,Ferit lleu
3,3,31,1,Bicicleta,M,Desconegut,Ferit lleu
1,3,25,1,Bicicleta,M,31,Ferit lleu
3,4,12,1,Bicicleta,M,25,Ferit lleu
2,4,13,1,Bicicleta,M,19,Ferit lleu
3,4,14,1,Bicicleta,F,47,Ferit lleu
1,4,19,1,Bicicleta,F,35,Ferit lleu
2,4,20,1,Bicicleta,M,56,Ferit lleu
6,4,20,1,Bicicleta,F,20,Ferit lleu
10,4,20,1,Bicicleta,M,55,Ferit lleu
4,4,21,1,Bicicleta,M,29,Ferit lleu
7,5,1,1,Bicicleta,M,42,Ferit lleu
1,5,6,1,Bicicleta,F,26,Ferit lleu
2,5,7,1,Bicicleta,M,38,Ferit lleu
1,5,10,1,Bicicleta,F,24,Ferit lleu
2,5,11,1,Bicicleta,M,21,Ferit lleu
2,5,11,1,Bicicleta,M,49,Ferit lleu
1,5,12,1,Bicicleta,M,29,Ferit lleu
2,5,13,1,Bicicleta,F,53,Ferit lleu
5,5,16,1,Bicicleta,M,18,Ferit lleu
8,5,17,1,Bicicleta,F,27,Ferit lleu
3,5,19,1,Bicicleta,M,30,Ferit lleu
1,5,20,1,Bicicleta,M,37,Ferit lleu
2,5,25,1,Bicicleta,M,67,Ferit lleu
5,6,2,1,Bicicleta,F,50,Ferit lleu
3,6,5,1,Bicicleta,F,28,Ferit lleu
2,6,6,1,Bicicleta,M,52,Ferit lleu
1,6,9,1,Bicicleta,F,27,Ferit lleu
2,6,11,1,Bicicleta,F,51,Ferit lleu
1,6,8,1,Bicicleta,M,33,Ferit lleu
2,6,13,1,Bicicleta,M,34,Ferit lleu
3,6,13,1,Bicicleta,F,47,Ferit lleu
8,6,23,1,Bicicleta,M,19,Ferit lleu
1,6,26,1,Bicicleta,M,46,Ferit lleu
9,6,26,1,Bicicleta,M,37,Ferit lleu
5,6,26,1,Bicicleta,M,67,Ferit lleu
3,7,2,1,Bicicleta,M,61,Ferit lleu
8,7,4,1,Bicicleta,M,54,Ferit lleu
2,7,6,1,Bicicleta,M,44,Ferit lleu
5,7,6,1,Bicicleta,F,27,Ferit lleu
5,7,9,1,Bicicleta,M,33,Ferit lleu
1,7,10,1,Bicicleta,M,38,Ferit lleu
8,7,10,1,Bicicleta,M,28,Ferit lleu
3,7,13,1,Bicicleta,M,74,Ferit lleu
8,7,20,1,Bicicleta,M,26,Ferit lleu
6,7,20,1,Bicicleta,M,24,Ferit lleu
3,7,28,1,Bicicleta,M,26,Ferit lleu
1,7,30,1,Bicicleta,F,33,Ferit lleu
4,8,8,1,Bicicleta,M,49,Ferit lleu
2,8,10,1,Bicicleta,M,56,Ferit lleu
4,8,18,1,Bicicleta,F,33,Ferit lleu
1,8,20,1,Bicicleta,F,34,Ferit lleu
2,8,22,1,Bicicleta,M,34,Ferit lleu
2,9,2,1,Bicicleta,M,47,Ferit lleu
4,9,6,1,Bicicleta,M,55,Ferit lleu
2,9,8,1,Bicicleta,F,27,Ferit lleu
5,9,11,1,Bicicleta,M,53,Ferit lleu
1,9,12,1,Bicicleta,M,62,Ferit lleu
4,9,12,1,Bicicleta,F,47,Ferit lleu
4,9,12,1,Bicicleta,M,33,Ferit lleu
2,9,14,1,Bicicleta,F,21,Ferit lleu
1,9,15,1,Bicicleta,F,36,Ferit lleu
3,9,17,1,Bicicleta,M,77,Ferit lleu
2,9,18,1,Bicicleta,M,46,Ferit lleu
6,9,22,1,Bicicleta,M,60,Ferit lleu
10,9,24,1,Bicicleta,M,29,Ferit lleu
7,9,26,1,Bicicleta,M,16,Ferit lleu
2,9,27,1,Bicicleta,F,36,Ferit lleu
2,9,29,1,Bicicleta,M,49,Ferit lleu
2,10,1,1,Bicicleta,F,57,Ferit lleu
5,10,2,1,Bicicleta,M,31,Ferit lleu
2,10,4,1,Bicicleta,M,31,Ferit lleu
2,10,19,1,Bicicleta,M,30,Ferit lleu
2,10,28,1,Bicicleta,M,46,Ferit lleu
5,11,1,1,Bicicleta,M,36,Ferit lleu
2,11,4,1,Bicicleta,M,43,Ferit lleu
2,11,9,1,Bicicleta,M,51,Ferit lleu
2,11,12,1,Bicicleta,M,36,Ferit lleu
6,11,12,1,Bicicleta,M,17,Ferit lleu
6,11,17,1,Bicicleta,F,21,Ferit lleu
6,11,21,1,Bicicleta,M,40,Ferit lleu
1,11,23,1,Bicicleta,M,25,Ferit lleu
2,11,25,1,Bicicleta,M,33,Ferit lleu
10,11,29,1,Bicicleta,M,68,Ferit lleu
5,12,1,1,Bicicleta,F,32,Ferit lleu
10,12,2,1,Bicicleta,M,18,Ferit lleu
2,12,10,1,Bicicleta,M,25,Ferit lleu
3,12,15,1,Bicicleta,M,43,Ferit lleu
10,12,16,1,Bicicleta,M,45,Ferit lleu
5,12,18,1,Bicicleta,M,18,Ferit lleu
2,12,21,1,Bicicleta,F,29,Ferit lleu
2,12,22,1,Bicicleta,F,61,Ferit lleu
2,12,22,1,Bicicleta,F,38,Ferit lleu
3,12,23,1,Bicicleta,M,29,Ferit lleu
4,12,27,1,Bicicleta,M,47,Ferit lleu
3,4,1,1,Bicicleta,M,51,Mort
3,6,26,1,Bicicleta,F,57,Mort
10,1,13,2,Bicicleta,F,26,Ferit lleu
10,1,16,2,Bicicleta,M,19,Ferit lleu
5,1,26,2,Bicicleta,M,29,Ferit lleu
10,1,14,2,Bicicleta,M,34,Ferit lleu
10,3,6,2,Bicicleta,M,45,Ferit lleu
2,5,2,2,Bicicleta,M,45,Ferit lleu
1,5,8,2,Bicicleta,M,24,Ferit lleu
10,8,11,2,Bicicleta,M,47,Ferit lleu
3,6,8,2,Bicicleta,M,41,Ferit lleu
3,7,8,2,Bicicleta,M,31,Ferit lleu
10,7,14,2,Bicicleta,M,27,Ferit lleu
2,7,15,2,Bicicleta,M,19,Ferit lleu
1,7,17,2,Bicicleta,M,21,Ferit lleu
4,7,19,2,Bicicleta,F,17,Ferit lleu
10,8,7,2,Bicicleta,M,45,Ferit lleu
2,8,28,2,Bicicleta,F,18,Ferit lleu
2,9,3,2,Bicicleta,M,40,Ferit lleu
2,9,10,2,Bicicleta,M,47,Ferit lleu
8,9,10,2,Bicicleta,M,33,Ferit lleu
9,9,10,2,Bicicleta,M,29,Ferit lleu
1,9,24,2,Bicicleta,F,17,Ferit lleu
2,9,25,2,Bicicleta,M,22,Ferit lleu
7,10,9,2,Bicicleta,M,24,Ferit lleu
4,10,14,2,Bicicleta,M,28,Ferit lleu
2,10,17,2,Bicicleta,M,23,Ferit lleu
9,10,19,2,Bicicleta,M,16,Ferit lleu
5,11,1,2,Bicicleta,F,18,Ferit lleu
2,11,26,2,Bicicleta,F,31,Ferit lleu
2,12,6,2,Bicicleta,F,22,Ferit lleu
2,12,6,2,Bicicleta,M,35,Ferit lleu
2,12,7,2,Bicicleta,M,29,Ferit lleu
10,12,23,2,Bicicleta,M,30,Ferit lleu
2,12,24,2,Bicicleta,F,54,Ferit lleu
2,12,30,2,Bicicleta,F,30,Ferit lleu
2,1,10,0,"Camion <= 3,5 Tm",M,37,Ferit lleu
3,6,26,0,"Camion <= 3,5 Tm",M,27,Ferit lleu
10,7,29,0,"Camion <= 3,5 Tm",M,31,Ferit lleu
7,11,8,0,"Camion <= 3,5 Tm",M,37,Ferit lleu
8,12,14,0,"Camion <= 3,5 Tm",M,26,Ferit lleu
1,2,13,1,"Camion <= 3,5 Tm",M,29,Ferit lleu
2,3,3,1,"Camion <= 3,5 Tm",M,27,Ferit lleu
3,3,18,1,"Camion <= 3,5 Tm",M,38,Ferit lleu
8,5,19,1,"Camion <= 3,5 Tm",M,35,Ferit lleu
10,7,5,1,"Camion <= 3,5 Tm",M,21,Ferit lleu
5,7,6,1,"Camion <= 3,5 Tm",M,36,Ferit lleu
2,7,26,1,"Camion <= 3,5 Tm",M,31,Ferit lleu
5,9,21,1,"Camion <= 3,5 Tm",M,42,Ferit lleu
10,11,15,1,"Camion <= 3,5 Tm",M,52,Ferit lleu
3,12,10,1,"Camion <= 3,5 Tm",M,51,Ferit lleu
10,9,25,2,"Camion <= 3,5 Tm",M,38,Ferit lleu
10,9,30,0,"Camion > 3,5 Tm",M,37,Ferit lleu
8,6,18,1,"Camion > 3,5 Tm",M,36,Ferit lleu
3,8,26,1,"Camion > 3,5 Tm",M,32,Ferit lleu
3,8,26,1,"Camion > 3,5 Tm",M,38,Ferit lleu
10,10,8,1,"Camion > 3,5 Tm",M,29,Ferit lleu
2,11,23,1,"Camion > 3,5 Tm",M,49,Ferit lleu
3,7,8,2,"Camion > 3,5 Tm",M,30,Ferit lleu
8,1,11,0,Ciclomotor,M,55,Ferit greu
2,1,16,0,Ciclomotor,F,23,Ferit greu
5,2,6,0,Ciclomotor,M,33,Ferit greu
7,2,11,0,Ciclomotor,M,31,Ferit greu
5,2,18,0,Ciclomotor,M,74,Ferit greu
2,2,18,0,Ciclomotor,F,33,Ferit greu
2,3,2,0,Ciclomotor,M,42,Ferit greu
1,3,25,0,Ciclomotor,M,17,Ferit greu
2,5,5,0,Ciclomotor,M,19,Ferit greu
2,5,27,0,Ciclomotor,M,17,Ferit greu
7,8,28,0,Ciclomotor,F,25,Ferit greu
5,9,15,0,Ciclomotor,M,16,Ferit greu
3,9,19,0,Ciclomotor,M,45,Ferit greu
7,9,25,0,Ciclomotor,M,29,Ferit greu
4,9,27,0,Ciclomotor,F,16,Ferit greu
8,10,9,0,Ciclomotor,M,23,Ferit greu
2,1,1,0,Ciclomotor,M,39,Ferit lleu
7,1,4,0,Ciclomotor,M,17,Ferit lleu
4,1,5,0,Ciclomotor,F,28,Ferit lleu
5,1,5,0,Ciclomotor,M,25,Ferit lleu
10,1,5,0,Ciclomotor,M,21,Ferit lleu
5,1,5,0,Ciclomotor,M,18,Ferit lleu
5,1,6,0,Ciclomotor,F,27,Ferit lleu
2,1,7,0,Ciclomotor,M,36,Ferit lleu
9,1,7,0,Ciclomotor,M,19,Ferit lleu
3,1,9,0,Ciclomotor,F,21,Ferit lleu
2,1,9,0,Ciclomotor,M,19,Ferit lleu
2,1,10,0,Ciclomotor,M,20,Ferit lleu
7,1,11,0,Ciclomotor,M,21,Ferit lleu
2,1,11,0,Ciclomotor,F,20,Ferit lleu
2,1,11,0,Ciclomotor,F,24,Ferit lleu
2,1,11,0,Ciclomotor,M,43,Ferit lleu
6,1,12,0,Ciclomotor,F,24,Ferit lleu
2,1,12,0,Ciclomotor,F,25,Ferit lleu
7,1,13,0,Ciclomotor,F,16,Ferit lleu
5,1,13,0,Ciclomotor,M,21,Ferit lleu
9,1,13,0,Ciclomotor,F,22,Ferit lleu
5,1,13,0,Ciclomotor,M,25,Ferit lleu
3,1,13,0,Ciclomotor,M,21,Ferit lleu
5,1,14,0,Ciclomotor,F,25,Ferit lleu
6,1,14,0,Ciclomotor,M,18,Ferit lleu
7,1,14,0,Ciclomotor,M,23,Ferit lleu
2,1,14,0,Ciclomotor,M,18,Ferit lleu
5,1,15,0,Ciclomotor,F,24,Ferit lleu
2,1,15,0,Ciclomotor,F,31,Ferit lleu
2,1,15,0,Ciclomotor,F,21,Ferit lleu
3,1,15,0,Ciclomotor,M,23,Ferit lleu
3,1,15,0,Ciclomotor,M,20,Ferit lleu
8,1,16,0,Ciclomotor,F,39,Ferit lleu
5,1,16,0,Ciclomotor,M,21,Ferit lleu
2,1,16,0,Ciclomotor,M,37,Ferit lleu
7,1,16,0,Ciclomotor,M,20,Ferit lleu
2,1,16,0,Ciclomotor,M,15,Ferit lleu
1,1,18,0,Ciclomotor,F,25,Ferit lleu
5,1,18,0,Ciclomotor,M,20,Ferit lleu
3,1,19,0,Ciclomotor,M,60,Ferit lleu
5,1,19,0,Ciclomotor,F,40,Ferit lleu
2,1,20,0,Ciclomotor,F,21,Ferit lleu
5,1,20,0,Ciclomotor,M,24,Ferit lleu
3,1,20,0,Ciclomotor,M,17,Ferit lleu
5,1,21,0,Ciclomotor,F,41,Ferit lleu
8,1,21,0,Ciclomotor,F,31,Ferit lleu
10,1,21,0,Ciclomotor,M,22,Ferit lleu
2,1,22,0,Ciclomotor,M,20,Ferit lleu
2,1,22,0,Ciclomotor,M,32,Ferit lleu
7,1,23,0,Ciclomotor,M,35,Ferit lleu
6,1,24,0,Ciclomotor,M,22,Ferit lleu
9,1,25,0,Ciclomotor,F,30,Ferit lleu
2,1,26,0,Ciclomotor,F,32,Ferit lleu
2,1,26,0,Ciclomotor,F,21,Ferit lleu
8,1,27,0,Ciclomotor,F,30,Ferit lleu
7,1,27,0,Ciclomotor,M,23,Ferit lleu
5,1,27,0,Ciclomotor,F,23,Ferit lleu
10,1,28,0,Ciclomotor,F,30,Ferit lleu
7,1,28,0,Ciclomotor,M,23,Ferit lleu
6,1,28,0,Ciclomotor,F,60,Ferit lleu
10,1,29,0,Ciclomotor,M,37,Ferit lleu
10,1,29,0,Ciclomotor,M,22,Ferit lleu
7,1,29,0,Ciclomotor,M,33,Ferit lleu
6,1,30,0,Ciclomotor,F,54,Ferit lleu
4,1,30,0,Ciclomotor,M,56,Ferit lleu
1,2,2,0,Ciclomotor,F,38,Ferit lleu
9,2,2,0,Ciclomotor,M,20,Ferit lleu
5,2,3,0,Ciclomotor,F,16,Ferit lleu
2,2,3,0,Ciclomotor,F,24,Ferit lleu
9,2,3,0,Ciclomotor,M,17,Ferit lleu
10,2,3,0,Ciclomotor,F,26,Ferit lleu
8,2,3,0,Ciclomotor,M,30,Ferit lleu
5,2,4,0,Ciclomotor,F,21,Ferit lleu
2,2,4,0,Ciclomotor,M,30,Ferit lleu
2,2,4,0,Ciclomotor,M,45,Ferit lleu
2,2,5,0,Ciclomotor,F,22,Ferit lleu
6,2,5,0,Ciclomotor,M,50,Ferit lleu
4,2,5,0,Ciclomotor,M,34,Ferit lleu
6,2,5,0,Ciclomotor,F,32,Ferit lleu
3,2,5,0,Ciclomotor,M,35,Ferit lleu
8,2,8,0,Ciclomotor,M,19,Ferit lleu
5,2,9,0,Ciclomotor,M,16,Ferit lleu
5,2,9,0,Ciclomotor,M,35,Ferit lleu
10,2,9,0,Ciclomotor,M,41,Ferit lleu
10,2,9,0,Ciclomotor,F,19,Ferit lleu
2,2,9,0,Ciclomotor,F,21,Ferit lleu
3,2,9,0,Ciclomotor,F,25,Ferit lleu
2,2,10,0,Ciclomotor,F,27,Ferit lleu
2,2,10,0,Ciclomotor,F,26,Ferit lleu
3,2,10,0,Ciclomotor,F,40,Ferit lleu
5,2,11,0,Ciclomotor,F,38,Ferit lleu
2,2,12,0,Ciclomotor,F,28,Ferit lleu
10,2,12,0,Ciclomotor,M,42,Ferit lleu
2,2,13,0,Ciclomotor,M,30,Ferit lleu
9,2,14,0,Ciclomotor,M,25,Ferit lleu
7,2,15,0,Ciclomotor,M,21,Ferit lleu
2,2,15,0,Ciclomotor,F,23,Ferit lleu
3,2,16,0,Ciclomotor,F,43,Ferit lleu
7,2,16,0,Ciclomotor,F,26,Ferit lleu
2,2,19,0,Ciclomotor,F,21,Ferit lleu
4,2,19,0,Ciclomotor,M,16,Ferit lleu
2,2,19,0,Ciclomotor,F,24,Ferit lleu
5,2,19,0,Ciclomotor,M,20,Ferit lleu
6,2,20,0,Ciclomotor,M,25,Ferit lleu
6,2,24,0,Ciclomotor,M,27,Ferit lleu
6,2,22,0,Ciclomotor,M,26,Ferit lleu
4,2,22,0,Ciclomotor,F,32,Ferit lleu
2,2,22,0,Ciclomotor,M,21,Ferit lleu
3,2,23,0,Ciclomotor,M,33,Ferit lleu
1,2,23,0,Ciclomotor,M,39,Ferit lleu
2,2,23,0,Ciclomotor,M,33,Ferit lleu
1,2,23,0,Ciclomotor,M,19,Ferit lleu
4,2,24,0,Ciclomotor,M,20,Ferit lleu
6,2,26,0,Ciclomotor,M,22,Ferit lleu
3,2,28,0,Ciclomotor,F,30,Ferit lleu
5,2,28,0,Ciclomotor,F,33,Ferit lleu
5,2,28,0,Ciclomotor,M,14,Ferit lleu
1,3,1,0,Ciclomotor,F,24,Ferit lleu
5,3,1,0,Ciclomotor,F,19,Ferit lleu
10,3,1,0,Ciclomotor,M,54,Ferit lleu
2,3,2,0,Ciclomotor,F,30,Ferit lleu
4,3,2,0,Ciclomotor,F,29,Ferit lleu
4,3,2,0,Ciclomotor,M,23,Ferit lleu
2,3,4,0,Ciclomotor,F,58,Ferit lleu
2,3,4,0,Ciclomotor,F,28,Ferit lleu
2,3,4,0,Ciclomotor,F,32,Ferit lleu
2,3,5,0,Ciclomotor,M,22,Ferit lleu
5,3,6,0,Ciclomotor,M,19,Ferit lleu
7,3,7,0,Ciclomotor,M,47,Ferit lleu
2,3,10,0,Ciclomotor,F,34,Ferit lleu
5,3,10,0,Ciclomotor,M,18,Ferit lleu
6,3,10,0,Ciclomotor,M,23,Ferit lleu
2,3,11,0,Ciclomotor,F,20,Ferit lleu
10,3,11,0,Ciclomotor,F,20,Ferit lleu
5,3,11,0,Ciclomotor,F,26,Ferit lleu
2,3,11,0,Ciclomotor,F,29,Ferit lleu
2,3,11,0,Ciclomotor,M,29,Ferit lleu
4,3,12,0,Ciclomotor,M,25,Ferit lleu
9,3,12,0,Ciclomotor,M,25,Ferit lleu
9,3,12,0,Ciclomotor,M,17,Ferit lleu
